Time,Generated,From grid,C
2024-04-01 00:00:00,,1517,
2024-04-01 00:30:00,,1504,
2024-04-01 01:00:00,,1509,
2024-04-01 01:30:00,,1412,
2024-04-01 02:00:00,,1422,
2024-04-01 02:30:00,,1440,
2024-04-01 03:00:00,,1526,
2024-04-01 03:30:00,,1531,
2024-04-01 04:00:00,,1403,
2024-04-01 04:30:00,,1399,
2024-04-01 05:00:00,,1418,
2024-04-01 05:30:00,,1424,
2024-04-01 06:00:00,,3008,
2024-04-01 06:30:00,,4823,
2024-04-01 07:00:00,,4480,
2024-04-01 07:30:00,61,5029,5090
2024-04-01 08:00:00,125,3475,3600
2024-04-01 08:30:00,287,5398,5685
2024-04-01 09:00:00,940,3520,4460
2024-04-01 09:30:00,1550,1797,3347
2024-04-01 10:00:00,2265,1042,3307
2024-04-01 10:30:00,2719,632,3351
2024-04-01 11:00:00,3429,-3176,253
2024-04-01 11:30:00,3969,-3661,308
2024-04-01 12:00:00,4349,-4004,345
2024-04-01 12:30:00,1881,-1713,168
2024-04-01 13:00:00,4400,-2829,1571
2024-04-01 13:30:00,4400,-2568,1832
2024-04-01 14:00:00,4400,-4142,258
2024-04-01 14:30:00,3359,594,3953
2024-04-01 15:00:00,4291,-2411,1880
2024-04-01 15:30:00,4114,-2175,1939
2024-04-01 16:00:00,1803,-1265,538
2024-04-01 16:30:00,142,84,226
2024-04-01 17:00:00,3181,-1298,1883
2024-04-01 17:30:00,2647,-2315,332
2024-04-01 18:00:00,2087,-1770,317
2024-04-01 18:30:00,1451,727,2178
2024-04-01 19:00:00,795,1039,1834
2024-04-01 19:30:00,88,2624,2712
2024-04-01 20:00:00,7,4358,4365
2024-04-01 20:30:00,0,2433,2433
2024-04-01 21:00:00,4.14,661,665
2024-04-01 21:30:00,8.27,653,661
2024-04-01 22:00:00,12.4,634,646
2024-04-01 22:30:00,16.5,2454,2471
2024-04-01 23:00:00,20.7,373,394
2024-04-01 23:30:00,24.8,229,254
2024-04-02 00:00:00,29,221,250
2024-04-02 00:30:00,33.1,220,253
2024-04-02 01:00:00,37.2,223,260
2024-04-02 01:30:00,41.4,219,260
2024-04-02 02:00:00,45.5,220,266
2024-04-02 02:30:00,49.6,146,196
2024-04-02 03:00:00,53.8,145,199
2024-04-02 03:30:00,57.9,147,205
2024-04-02 04:00:00,62,245,307
2024-04-02 04:30:00,66.2,231,297
2024-04-02 05:00:00,70.3,226,296
2024-04-02 05:30:00,74.5,145,219
2024-04-02 06:00:00,78.6,4288,4367
2024-04-02 06:30:00,82.7,2484,2567
2024-04-02 07:00:00,86.9,2722,2809
2024-04-02 07:30:00,91,3621,3712
2024-04-02 08:00:00,281,2187,2468
2024-04-02 08:30:00,489,3326,3815
2024-04-02 09:00:00,1033,1300,2333
2024-04-02 09:30:00,1586,422,2008
2024-04-02 10:00:00,1762,453,2215
2024-04-02 10:30:00,2629,-2164,465
2024-04-02 11:00:00,3580,-1460,2120
2024-04-02 11:30:00,2971,-993,1978
2024-04-02 12:00:00,1929,94,2023
2024-04-02 12:30:00,4400,-2319,2081
2024-04-02 13:00:00,4400,-2570,1830
2024-04-02 13:30:00,4400,412,4812
2024-04-02 14:00:00,3823,767,4590
2024-04-02 14:30:00,4400,-1245,3155
2024-04-02 15:00:00,1686,2925,4611
2024-04-02 15:30:00,1204,-845,359
2024-04-02 16:00:00,1244,798,2042
2024-04-02 16:30:00,651,1450,2101
2024-04-02 17:00:00,809,-480,329
2024-04-02 17:30:00,1145,720,1865
2024-04-02 18:00:00,892,-524,368
2024-04-02 18:30:00,601,-226,375
2024-04-02 19:00:00,631,1383,2014
2024-04-02 19:30:00,113,1304,1417
2024-04-02 20:00:00,3,2257,2260
2024-04-02 20:30:00,0,477,477
2024-04-02 21:00:00,3.27,1899,1902
2024-04-02 21:30:00,6.55,2026,2033
2024-04-02 22:00:00,9.82,399,409
2024-04-02 22:30:00,13.1,399,412
2024-04-02 23:00:00,16.4,492,508
2024-04-02 23:30:00,19.6,248,268
2024-04-03 00:00:00,22.9,159,182
2024-04-03 00:30:00,26.2,156,182
2024-04-03 01:00:00,29.5,153,182
2024-04-03 01:30:00,32.7,151,184
2024-04-03 02:00:00,36,241,277
2024-04-03 02:30:00,39.3,233,272
2024-04-03 03:00:00,42.5,152,195
2024-04-03 03:30:00,45.8,153,199
2024-04-03 04:00:00,49.1,150,199
2024-04-03 04:30:00,52.4,245,297
2024-04-03 05:00:00,55.6,235,291
2024-04-03 05:30:00,58.9,153,212
2024-04-03 06:00:00,62.2,2369,2431
2024-04-03 06:30:00,65.5,3041,3106
2024-04-03 07:00:00,68.7,2459,2528
2024-04-03 07:30:00,72,4948,5020
2024-04-03 08:00:00,150,2153,2303
2024-04-03 08:30:00,344,2914,3258
2024-04-03 09:00:00,958,1116,2074
2024-04-03 09:30:00,1570,376,1946
2024-04-03 10:00:00,2157,-201,1956
2024-04-03 10:30:00,2685,-548,2137
2024-04-03 11:00:00,3152,-2779,373
2024-04-03 11:30:00,3585,-334,3251
2024-04-03 12:00:00,3502,-520,2982
2024-04-03 12:30:00,3692,-3366,326
2024-04-03 13:00:00,4329,-4011,318
2024-04-03 13:30:00,4400,184,4584
