Time,Generated,From grid,C
2024-05-01 00:00:00,,295,
2024-05-01 00:30:00,,215,
2024-05-01 01:00:00,,209,
2024-05-01 01:30:00,,209,
2024-05-01 02:00:00,,314,
2024-05-01 02:30:00,,301,
2024-05-01 03:00:00,,285,
2024-05-01 03:30:00,,156,
2024-05-01 04:00:00,,150,
2024-05-01 04:30:00,,136,
2024-05-01 05:00:00,,147,
2024-05-01 05:30:00,,3604,
2024-05-01 06:00:00,,2361,
2024-05-01 06:30:00,16,3103,3119
2024-05-01 07:00:00,98,127,225
2024-05-01 07:30:00,194,3216,3410
2024-05-01 08:00:00,621,1577,2198
2024-05-01 08:30:00,1035,1063,2098
2024-05-01 09:00:00,1479,955,2434
2024-05-01 09:30:00,758,1511,2269
2024-05-01 10:00:00,2779,-958,1821
2024-05-01 10:30:00,3209,-1182,2027
2024-05-01 11:00:00,1192,-860,332
2024-05-01 11:30:00,3944,-3670,274
2024-05-01 12:00:00,4338,-4170,168
2024-05-01 12:30:00,4400,1656,6056
2024-05-01 13:00:00,4400,-1310,3090
2024-05-01 13:30:00,4400,-1261,3139
2024-05-01 14:00:00,4400,0,4400
2024-05-01 14:30:00,4400,-1160,3240
2024-05-01 15:00:00,2972,3417,6389
2024-05-01 15:30:00,4400,-590,3810
2024-05-01 16:00:00,4204,2472,6676
2024-05-01 16:30:00,3831,-702,3129
2024-05-01 17:00:00,3408,1389,4797
2024-05-01 17:30:00,2334,2367,4701
2024-05-01 18:00:00,2568,2033,4601
2024-05-01 18:30:00,1852,-1463,389
2024-05-01 19:00:00,929,677,1606
2024-05-01 19:30:00,402,2439,2841
2024-05-01 20:00:00,151,1716,1867
2024-05-01 20:30:00,9,299,308
2024-05-01 21:00:00,0,290,290
2024-05-01 21:30:00,1.16,288,289
2024-05-01 22:00:00,2.32,300,302
2024-05-01 22:30:00,3.47,488,491
2024-05-01 23:00:00,4.63,379,384
2024-05-01 23:30:00,5.79,295,301
2024-05-02 00:00:00,6.95,160,167
2024-05-02 00:30:00,8.11,150,158
2024-05-02 01:00:00,9.26,149,158
2024-05-02 01:30:00,10.4,238,248
2024-05-02 02:00:00,11.6,227,239
2024-05-02 02:30:00,12.7,149,162
2024-05-02 03:00:00,13.9,141,155
2024-05-02 03:30:00,15.1,146,161
2024-05-02 04:00:00,16.2,241,257
2024-05-02 04:30:00,17.4,234,251
2024-05-02 05:00:00,18.5,144,163
2024-05-02 05:30:00,19.7,214,234
2024-05-02 06:00:00,20.8,2677,2698
2024-05-02 06:30:00,22,4127,4149
2024-05-02 07:00:00,90,2216,2306
2024-05-02 07:30:00,138,3090,3228
2024-05-02 08:00:00,301,2991,3292
2024-05-02 08:30:00,852,3266,4118
2024-05-02 09:00:00,1467,-1004,463
2024-05-02 09:30:00,2137,-1808,329
2024-05-02 10:00:00,2703,-294,2409
2024-05-02 10:30:00,3199,-1315,1884
2024-05-02 11:00:00,3629,-1671,1958
2024-05-02 11:30:00,4030,-2391,1639
2024-05-02 12:00:00,4323,-4053,270
2024-05-02 12:30:00,4400,-4135,265
2024-05-02 13:00:00,4400,-4056,344
2024-05-02 13:30:00,4400,-3897,503
2024-05-02 14:00:00,4400,-3747,653
2024-05-02 14:30:00,4400,-1392,3008
2024-05-02 15:00:00,4400,-3869,531
2024-05-02 15:30:00,4303,-2121,2182
2024-05-02 16:00:00,4205,-3642,563
2024-05-02 16:30:00,3839,-3511,328
2024-05-02 17:00:00,3396,-634,2762
2024-05-02 17:30:00,2949,-2706,243
2024-05-02 18:00:00,2398,245,2643
2024-05-02 18:30:00,1801,-1470,331
2024-05-02 19:00:00,1166,836,2002
2024-05-02 19:30:00,595,-192,403
2024-05-02 20:00:00,92,619,711
2024-05-02 20:30:00,13,326,339
2024-05-02 21:00:00,0,404,404
2024-05-02 21:30:00,2.11,403,405
2024-05-02 22:00:00,4.21,326,330
2024-05-02 22:30:00,6.32,329,335
2024-05-02 23:00:00,8.42,1606,1614
2024-05-02 23:30:00,10.5,1560,1571
2024-05-03 00:00:00,12.6,1520,1533
2024-05-03 00:30:00,14.7,1603,1618
2024-05-03 01:00:00,16.8,1501,1518
2024-05-03 01:30:00,18.9,1431,1450
2024-05-03 02:00:00,21.1,1539,1560
2024-05-03 02:30:00,23.2,1423,1446
2024-05-03 03:00:00,25.3,1546,1571
2024-05-03 03:30:00,27.4,1523,1550
2024-05-03 04:00:00,29.5,232,261
2024-05-03 04:30:00,31.6,149,181
2024-05-03 05:00:00,33.7,150,184
2024-05-03 05:30:00,35.8,2165,2201
2024-05-03 06:00:00,37.9,2580,2618
2024-05-03 06:30:00,40,4027,4067
2024-05-03 07:00:00,127,2437,2564
2024-05-03 07:30:00,150,2912,3062
2024-05-03 08:00:00,310,3817,4127
2024-05-03 08:30:00,841,1593,2434
2024-05-03 09:00:00,1431,665,2096
2024-05-03 09:30:00,2069,-1746,323
2024-05-03 10:00:00,2615,-573,2042
2024-05-03 10:30:00,3092,-2771,321
2024-05-03 11:00:00,3528,-3247,281
